,inverted_log_rank_p1,rank_diff_binned,log_odd_ratio,surface_Clay,surface_Hard,surface_Grass,h2h_binned,consecutive_wins_p1,consecutive_wins_p2,consecutive_losses_p1,consecutive_losses_p2,consecutive_results,rank_evol_p1_binned,rank_evol_p2_binned,rank_combined_binned,odd_p1,odd_p2
32057,0.30692767643013485,13,1.4914668891843443,1,0,0,0,0.5,1,0,0.0,0,1,0,13,1.33,3.25
36205,0.3284587387530511,3,1.1514547700424898,0,1,0,1,0.5,1,1,0.0,1,0,0,3,1.72,2.0
8038,0.2749075777424936,12,1.5548497221496973,0,1,0,0,1.0,1,1,0.0,1,0,0,12,1.28,3.5
7346,0.45511961331341866,11,1.7296456438601524,1,0,0,1,0.5,1,0,0.0,0,0,1,9,1.19,4.33
408,0.2222316216158104,13,1.233204014336522,0,1,0,0,0.5,1,1,1.0,1,0,0,13,1.571,2.25
7955,0.2302128900546512,13,1.380884068391643,0,1,0,0,0.5,1,1,0.0,1,0,0,13,1.39,2.75
30235,0.3459762562611936,12,2.4365880725171927,0,0,1,0,0.5,1,1,1.0,1,0,0,13,1.06,10.0
13371,0.29401410379520604,6,1.1514547700424898,1,0,0,1,0.5,1,0,0.0,0,0,1,5,1.72,2.0
18002,0.17235084417508337,0,1.3773256911371303,1,0,0,0,0.5,0,1,0.0,0,0,0,0,1.4,2.75
12958,0.29120667621996243,7,1.7296456438601524,1,0,0,0,0.5,1,1,0.5,1,1,1,6,1.19,4.33
31632,0.2518706487516997,4,1.233469765560689,0,1,0,1,0.5,1,0,0.0,0,1,0,5,1.57,2.25
33936,0.2518706487516997,8,1.4914668891843443,0,1,0,0,0.5,1,1,1.0,1,1,0,8,1.33,3.25
12795,0.21959311237518594,13,1.2992829841302609,0,1,0,0,0.5,1,1,1.0,1,0,1,13,1.5,2.5
28941,0.21667906533553166,13,1.842190322854947,0,1,0,0,0.5,1,1,0.0,1,0,0,13,1.16,5.0
38183,0.2422988705246811,12,1.7601930032602204,0,1,0,0,0.5,1,1,0.0,1,0,0,12,1.18,4.5
29429,0.21714724095162588,0,1.2992829841302609,0,1,0,0,0.5,1,1,0.5,1,1,0,1,1.5,2.5
13236,0.2769378934088574,13,1.7296456438601524,1,0,0,0,0.5,1,1,0.0,0,0,0,13,1.19,4.33
38647,0.23617733727628992,12,1.6486586255873816,0,1,0,0,0.5,1,1,0.0,0,0,0,12,1.25,4.0
3655,0.45511961331341866,12,1.8522983137736986,0,1,0,0,0.5,1,1,0.5,1,1,1,12,1.143,5.0
25236,0.2473379469500514,4,1.0986122886681098,0,0,1,0,0.5,1,1,0.0,1,0,0,4,1.83,1.83
20467,0.35295612386476116,7,1.6094379124341003,1,0,0,0,0.5,1,1,0.0,1,0,0,7,1.25,3.75
4869,0.28599966750267436,1,1.1499634852588554,0,0,1,1,0.5,1,1,0.0,1,0,0,2,1.727,2.0
10591,0.22755980665670933,6,1.2666713985415,1,0,0,0,0.5,1,1,0.0,0,0,0,6,1.53,2.37
25201,0.20544281918875867,0,1.2666713985415,0,0,1,0,0.5,1,0,0.0,0,0,0,0,1.53,2.37
31181,0.5138983423697507,13,3.126413072440569,0,1,0,0,0.5,1,1,1.0,1,0,0,13,1.01,21.0
16250,0.2790553132756236,9,1.233469765560689,0,0,1,1,1.0,1,1,1.0,1,0,0,9,1.57,2.25
8340,0.20325282050390903,0,1.4134945874190472,0,1,0,0,0.5,1,1,1.0,1,1,0,0,1.36,2.87
7922,0.2749075777424936,13,1.9330730022946325,1,0,0,0,0.5,1,1,0.0,0,0,0,12,1.12,5.5
32471,0.3001016285004131,10,1.233469765560689,1,0,0,0,0.5,1,1,1.0,1,1,0,10,1.57,2.25
14723,0.2239186238120062,5,1.2992829841302609,1,0,0,0,0.5,1,0,0.0,0,1,1,6,1.5,2.5
36689,0.24044917348149392,2,1.3401049786505161,0,1,0,0,1.0,1,1,0.0,1,0,0,2,1.44,2.62
29428,0.2422988705246811,7,1.3401049786505161,0,1,0,0,0.5,1,1,1.0,1,1,0,9,1.44,2.62
34208,0.28599966750267436,6,1.3773256911371303,0,1,0,0,0.5,1,1,0.5,1,0,1,5,1.4,2.75
27183,0.22569202144874392,9,1.9205280757838963,1,0,0,1,0.5,1,1,0.5,1,1,0,11,1.14,5.5
22446,0.30341307554227914,3,1.3773256911371303,0,1,0,0,0.5,0,1,0.0,0,0,0,3,1.4,2.75
33303,0.4170323914242463,12,2.0612592225966457,0,1,0,0,0.5,1,1,0.0,1,0,0,12,1.11,6.5
38492,0.30692767643013485,3,1.842190322854947,0,1,0,0,0.5,1,1,1.0,1,1,0,3,1.16,5.0
15004,0.45511961331341866,9,1.6636776813710972,1,0,0,1,1.0,1,1,0.0,1,0,0,9,1.22,4.0
17714,0.2473379469500514,6,1.1514547700424898,0,0,1,0,0.5,1,0,0.0,0,0,0,5,1.72,2.0
28192,0.23782951347935782,5,1.2138616364551833,0,1,0,0,0.5,1,1,1.0,1,0,1,2,1.61,2.2
32308,0.7213475204444817,6,1.749199854809259,1,0,0,0,0.5,1,1,0.0,0,0,0,6,1.2,4.5
27097,0.40242960438184466,12,1.7242535868626816,1,0,0,1,0.5,1,1,0.0,1,0,0,12,1.2,4.33
37842,0.5138983423697507,3,2.12389330425067,0,0,1,1,1.0,1,1,0.0,1,0,0,3,1.1,7.0
